id;category;title;graph_state;conversation;expected_tools;current_outcome;current_reason;expected_outcome;expected_reply;notes;verdict;should_instead
NAME-11;name-variance;Partial lineup: promoter names only the headliner of a three-band swept bill;unowned swept: 'ASH VEREIN + KLINIK NORD + FERAL POOL' @ Quasimodo (Berlin), 2026-10-30 date-only, source=admin_search, ticket_url=ra.co/events/av1030;user: publish: Ash Verein at Quasimodo Berlin, Oct 30, doors 20:00, 12€ || assistant: Just Ash Verein on the bill? Any event title? || user: no title, just the band || tool: POST /api/publish{name=EMPTY, artists=[Ash Verein], venue_uid=quasimodo} -> 201 created uid=ev_new11 name='Ash Verein live at Quasimodo' || assistant: Published.;extract(chat)->form.extracted(name=EMPTY, artists=[Ash Verein], start_at=2026-10-30T20:00, price_min=12) | POST /api/publish{draft, venue_uid=quasimodo};created_duplicate;derived 'Ash Verein live at Quasimodo' norm != swept three-band title norm -> probe misses;"headliner overlaps the swept lineup at same venue+date -> surface; confirm -> adopt keeping the full three-band title; if different, ask what differs";A swept listing has Ash Verein + Klinik Nord + Feral Pool at Quasimodo that night — is yours the same show? Confirmed: adopted with the full lineup kept.;;;
NAME-12;name-variance;One-letter typo in the band name (k vs c);unowned swept: 'BALENA ARTICA' @ Ziggy Club (Torino), 2026-11-20 date-only, source=admin_search, ticket_url=dice.fm/ba1120;user: pubblica: titolo 'Balena Artika', Ziggy Club Torino, 20/11 ore 22, 8€ || assistant: Confermi la grafia 'Artika' con la k? || user: sì, la band si scrive così || tool: POST /api/publish{name='Balena Artika', venue_uid=ziggy} -> 201 created uid=ev_new12 || assistant: Pubblicato.;extract(chat)->form.extracted(name='Balena Artika', artists=[Balena Artika], start_at=2026-11-20T22:00, price_min=8) | POST /api/publish{draft, venue_uid=ziggy};created_duplicate;one letter differs after norm: 'balena artika' != 'balena artica' -> probe misses;"near-identical name (edit distance 1), same venue+date -> surface the 'ARTICA' row; confirm -> adopt with the promoter's spelling winning";C'è già 'BALENA ARTICA' in lista al Ziggy il 20/11 (dal web) — stessa serata con grafia diversa? Se confermi diventa tua con la tua grafia.;;;
NAME-13;name-variance;Venue name embedded in the event title;unowned swept: 'KORA VALE' @ Quasimodo (Berlin), 2026-11-27 date-only, source=admin_search, ticket_url=koka36.de/kv1127;user: flyer says 'KORA VALE AT QUASIMODO' [photo] || tool: ingest(photo)->text: 'KORA VALE AT QUASIMODO / 27.11 / 20:30 / 15€' || assistant: Keep 'Kora Vale at Quasimodo' as the title? || user: yes, as printed || tool: POST /api/publish{name='Kora Vale at Quasimodo', venue_uid=quasimodo} -> 201 created uid=ev_new13 || assistant: Published.;ingest(photo)->text | extract->form.extracted(name='Kora Vale at Quasimodo', artists=[Kora Vale], start_at=2026-11-27T20:30, price_min=15) | POST /api/publish{draft, venue_uid=quasimodo};created_duplicate;' at quasimodo' suffix keeps name_norm != 'kora vale' -> probe misses even though the title literally names the probed venue;"title containing the booked venue's own name is an obvious candidate -> surface; confirm -> adopt (suggest stripping the venue from the title)";"'KORA VALE' is already listed at Quasimodo on Nov 27 — same gig with the venue in the title? Confirmed: adopted; I'd drop 'at Quasimodo' from the name since the venue is its own field.";;;
NAME-14;name-variance;Extra inner whitespace from OCR — double space defeats the probe;unowned swept: 'Oro Líquido' @ Movistar Arena (Madrid), 2026-12-05 date-only, source=admin_search, ticket_url=movistararena.es/ol1205;user: [cartel] || tool: ingest(photo)->text: 'ORO LIQUIDO / MOVISTAR ARENA / 5 DIC / 19:30 / desde 30€' (OCR kept a double space) || assistant: ¿Publico con el título 'Oro Liquido' tal cual, 5/12 a las 19:30, desde 30€? || user: sí, tal cual || tool: POST /api/publish{name='Oro Liquido', venue_uid=movistar} -> 201 created uid=ev_new14 || assistant: Publicado.;ingest(photo)->text | extract->form.extracted(name='Oro Liquido', artists=[Oro Liquido], start_at=2026-12-05T19:30, price_min=30) | POST /api/publish{draft, venue_uid=movistar};created_duplicate;norm trims ends only: inner double space survives -> 'oro liquido' != 'oro liquido' -> probe misses (diacritics and case would have normalized);"whitespace-insensitive comparison should hit -> surface the swept row; confirm -> adopt and store the clean single-spaced title";Esto coincide con 'Oro Líquido' ya listado en el Movistar Arena el 5/12 — ¿mismo concierto? Confirmado: pasa a ser tuyo con el título limpio, enlace de entradas conservado.;;;
TIME-01;datetime-variance;Same calendar day, date-only swept 00:00 vs stated 21:00 — probe still hits, silent adopt today;unowned swept: 'Notte Analogica' @ Ziggy Club (Torino), 2026-10-02 date-only (00:00), source=admin_search, ticket_url=dice.fm/notte-analogica, owner_id=NULL;user: ciao, pubblico la nostra serata: NOTTE ANALOGICA - venerdi 2 ottobre - ore 21:00 - Ziggy Club, Torino - ingresso 10 euro - dj set Astro Vinile || tool: extract->form.extracted(name='Notte Analogica', artists=[Astro Vinile], start_at=2026-10-02T21:00, venue=Ziggy Club, city=Torino, price_min=10, venue_uid picked) || assistant: Bozza: Notte Analogica, ven 2 ottobre ore 21:00, Ziggy Club Torino, da 10 euro. Pubblico? || user: si || tool: POST /api/publish{draft, venue_uid} -> 200 adopted (hour 21:00 applied, swept ticket_url kept) || assistant: Pubblicato! La serata e' online, inizio ore 21:00.;extract->form.extracted(name='Notte Analogica', start_at=2026-10-02T21:00) | probe -> swept candidate found, ask user 'same event?' | POST /api/publish{draft, venue_uid} -> adopted;adopted;"date() compares calendar dates: 00:00 and 21:00 are both 2026-10-02 -> probe hits; unowned + pro_submission -> silent adopt";"surface the swept candidate BEFORE writing; on 'same' -> adopt: promoter's 21:00 wins, swept ticket_url and uid kept";This looks like the swept listing 'Notte Analogica' at Ziggy Club on Oct 2 - same event? On yes: it's yours now, start time updated to 21:00, existing ticket link kept.;repaired after verification: artist added so the draft passes missing_required;;
TIME-02;datetime-variance;Day AFTER a swept event, no name/artist overlap — clean create, adjacency alone must add no friction;unowned swept: 'Velvet Static live at Quasimodo' @ Quasimodo (Berlin), 2026-10-15 date-only, source=admin_search, ticket_url=ra.co/velvetstatic;user: publishing our Berlin gig: KALTWASSER - Quasimodo Berlin - Friday 16 October - doors 20:00, stage 21:00 - 12 euro || tool: extract->form.extracted(name=EMPTY, artists=[Kaltwasser], start_at=2026-10-16T21:00, venue=Quasimodo, city=Berlin, price_min=12, venue_uid picked) || assistant: Draft: Kaltwasser live at Quasimodo, Fri 16 Oct 21:00, Berlin, from 12 euro. Publish? || user: go ahead || tool: POST /api/publish{draft, venue_uid} -> 201 created, fresh uid || assistant: Published - Kaltwasser is live for Friday.;extract->form.extracted(name=EMPTY, artists=[Kaltwasser], start_at=2026-10-16T21:00) | POST /api/publish{draft, venue_uid} -> 201 created;created_ok;derived name 'Kaltwasser live at Quasimodo' shares no name_norm with the swept event and the date differs -> probe misses -> clean create;created_ok with NO friction: no name or artist overlap, so adjacent date + same venue alone must not trigger a candidate prompt;Published straight away - genuinely different event, no duplicate question asked.;;;
TIME-03;datetime-variance;Exact name, same hour, next day (promoter Sat 17 vs swept Fri 16) — silent near-dupe today;unowned swept: 'Aurora Fria live at Movistar Arena' @ Movistar Arena (Madrid), 2026-10-16T21:00, source=admin_search, ticket_url=movistararena.es/aurora, source_url set;user: our Madrid show: Aurora Fria live at Movistar Arena - Saturday 17 October, 21:00 - from 28 euro || tool: extract->form.extracted(name='Aurora Fria live at Movistar Arena', start_at=2026-10-17T21:00, venue=Movistar Arena, city=Madrid, price_min=28, venue_uid picked) || assistant: Draft: Aurora Fria live at Movistar Arena, Sat 17 Oct 21:00, from 28 euro. Publish? || user: yes || tool: POST /api/publish{draft, venue_uid} -> 201 created, fresh uid || assistant: Published for Saturday 17 October.;extract->form.extracted(name='Aurora Fria live at Movistar Arena', start_at=2026-10-17T21:00) | adjacent-date probe -> swept Fri 16 candidate, ask which date is right | POST /api/publish{draft, venue_uid} -> adopted with corrected date;created_duplicate;"probe requires date(e.start_at) = date(draft.start_at) exactly; 17th vs 16th -> miss -> CREATE lands a second node for one show";"exact name + same venue + adjacent date -> surface swept candidate and ask which date is right; on 'same, my Saturday is correct' -> adopt swept node, date moves to 2026-10-17T21:00";A swept listing has this exact show on Friday 16 Oct - same event? Which date is right? On confirm: adopted under your account with Saturday 17, arena ticket link kept.;;;
TIME-04;datetime-variance;Midnight boundary: 'Saturday night' party starting 00:30 Sunday vs swept Saturday date-only;unowned swept: 'Buio Totale' @ Circolo Magnolia (Milano), 2026-12-05 date-only (Saturday), source=admin_search, ticket_url=dice.fm/buiototale;user: serata BUIO TOTALE al Magnolia di Milano, notte di sabato 5 dicembre, si parte alle 00:30, 15 euro, suona Vetro Scuro || assistant: Occhio: inizio alle 00:30 della notte di sabato vuol dire domenica 6 dicembre sul calendario. Metto 06/12 ore 00:30? || user: si, esatto, si entra dopo mezzanotte || tool: extract->form.extracted(name='Buio Totale', artists=[Vetro Scuro], start_at=2026-12-06T00:30, venue=Circolo Magnolia, city=Milano, price_min=15, venue_uid picked) || tool: POST /api/publish{draft, venue_uid} -> 201 created, fresh uid || assistant: Pubblicato per la notte tra sabato e domenica.;extract->form.extracted(name='Buio Totale', start_at=2026-12-06T00:30) | boundary-aware probe -> swept Sat 5 candidate, ask 'same night?' | POST /api/publish{draft, venue_uid} -> adopted, 00:30 start kept;created_duplicate;date() compares calendar dates: 2026-12-06 != 2026-12-05 -> probe misses the swept Saturday row -> fresh uid beside it;"calendar-adjacent date + same name + same venue -> surface the swept Sat-5 listing as the same night; on confirm -> adopt, keep the precise 00:30 start";Il locale ha in lista 'Buio Totale' sotto sabato 5 - e' la stessa notte? Confermato: adottato l'evento esistente con inizio 00:30, link biglietti mantenuto.;repaired after verification: artist added so the draft passes missing_required;;
TIME-05;datetime-variance;Flyer weekday contradicts resolved date — start_at_claim must block the write and ask;none;user: [pastes flyer photo] GLASS HARBOR - FRIDAY 14 NOVEMBER - Quasimodo Berlin - 20:00 - 12 euro || tool: ingest(photo)->text || tool: extract->form.extracted(artists=[Glass Harbor], start_at=2026-11-14T20:00, start_at_claim='FRIDAY 14 NOVEMBER', venue=Quasimodo, city=Berlin, price_min=12) || assistant: Your flyer says Friday, but 14 November 2026 is a Saturday. Is the show Friday the 13th or Saturday the 14th? I'll hold off publishing until you confirm.;ingest(photo)->text | extract->form.extracted(start_at=2026-11-14T20:00, start_at_claim='FRIDAY 14 NOVEMBER') | NO publish until the user resolves the contradiction | then POST /api/publish{draft, venue_uid} on the confirmed date;clarify_first;start_at_claim rule: stated weekday (Friday) contradicts resolved date (2026-11-14 is Saturday) -> chat must question before any write;same as today: clarify BEFORE any write, then publish on the confirmed date - this behavior must not regress;"Flyer says Friday but 14 Nov 2026 is a Saturday - Fri 13 or Sat 14? Nothing is published until you answer; then it goes out on the confirmed date.";;;
TIME-06;datetime-variance;Weekday contradiction resolved to the OTHER day — corrected date slips past the exact-date probe;unowned swept: 'Riti Sintetici' @ Ziggy Club (Torino), 2026-10-22 date-only (Thursday), source=admin_search, ticket_url=fb.me/ritisintetici;user: [incolla volantino] RITI SINTETICI - VENERDI 22 OTTOBRE - Ziggy Club Torino - 21:30 - 8 euro || tool: extract->form.extracted(name='Riti Sintetici', start_at=2026-10-22T21:30, start_at_claim='VENERDI 22 OTTOBRE', venue=Ziggy Club, city=Torino, price_min=8) || assistant: Il volantino dice venerdi, ma il 22 ottobre 2026 e' giovedi. La serata e' giovedi 22 o venerdi 23? || user: venerdi 23, sul volantino la data e' sbagliata || tool: POST /api/publish{draft start_at=2026-10-23T21:30, venue_uid} -> 201 created, fresh uid || assistant: Pubblicato per venerdi 23 ottobre.;extract->form.extracted(start_at=2026-10-22T21:30, start_at_claim='VENERDI 22 OTTOBRE') | clarify weekday -> user corrects to 2026-10-23 | adjacent-date probe -> swept Thu-22 candidate, ask 'same event? which date is right?' | POST /api/publish{draft, venue_uid} -> adopted with date 23;created_duplicate;"after the correction the draft date is 2026-10-23; probe checks date equality only -> misses the swept 2026-10-22 node -> second copy of one gig under the corrected date";"after the correction, re-check: same name + same venue + adjacent date -> surface the swept Thursday listing; on 'same event, Friday is right' -> adopt and move its date to 2026-10-23";La lista del locale ha Riti Sintetici giovedi 22 - stesso evento? Confermato che e' venerdi 23: adottata la scheda esistente con la data corretta, link FB mantenuto.;;;
TIME-07;datetime-variance;Same day and hour, name variant: lineup flyer derives a name that misses the swept '&' title;unowned swept: 'Then Comes Silence & The Foreign Resort' @ Ziggy Club (Torino), 2026-09-18 date-only, source=admin_search, ticket_url=fb.me/tcsforeign;user: [incolla volantino] THEN COMES SILENCE + THE FOREIGN RESORT / 18.09 - ore 21:00 / Ziggy Club, Torino / 15 euro || tool: extract->form.extracted(name=EMPTY, artists=[Then Comes Silence, The Foreign Resort], start_at=2026-09-18T21:00, venue=Ziggy Club, city=Torino, price_min=15, venue_uid picked) || assistant: Bozza: Then Comes Silence live at Ziggy Club (con The Foreign Resort), ven 18/09 ore 21:00, 15 euro. Pubblico? || user: vai || tool: POST /api/publish{draft, venue_uid} -> 201 created, fresh uid || assistant: Pubblicato per venerdi 18.;ingest->text | extract->form.extracted(name=EMPTY, artists=[Then Comes Silence, The Foreign Resort]) | artist-overlap probe -> swept '&' candidate same date+venue, ask 'same event?' | POST /api/publish{draft, venue_uid} -> adopted, 21:00 applied;created_duplicate;"empty name -> writer derives 'Then Comes Silence live at Ziggy Club'; norm keeps punctuation and word order, so it never equals 'then comes silence & the foreign resort' -> probe misses despite same date+venue";"overlapping artist set + same date + same venue -> surface the swept candidate; on confirm -> adopt: 21:00 and price win, swept ticket_url kept";Questo sembra 'Then Comes Silence & The Foreign Resort' gia' in lista per il 18/09 allo Ziggy - stesso concerto? Confermato: adottato, orario 21:00 e prezzo aggiunti, link biglietti mantenuto.;;;
TIME-08;datetime-variance;Two-night residency via the walk — consecutive days, same derived name, each night its own node;none;user: two nights to publish: SOMBRA ELECTRICA - Movistar Arena, Madrid - 20 y 21 de noviembre - 21:00 - desde 35 euro || tool: extract->walk(1/2)->form.extracted(name=EMPTY, artists=[Sombra Electrica], start_at=2026-11-20T21:00, venue=Movistar Arena, city=Madrid, price_min=35, venue_uid picked) || assistant: Night 1 of 2: Fri 20 Nov, 21:00, Movistar Arena, from 35 euro. Publish? || user: yes || tool: POST /api/publish{draft, venue_uid} -> 201 created, uid A || assistant: Night 1 is live. Next: Sat 21 Nov, same details? || user: yes, publish it || tool: POST /api/publish{draft start_at=2026-11-21T21:00, venue_uid} -> 201 created, uid B || assistant: Both nights are up.;extract->walk(1/2) | POST /api/publish{night1} -> 201 created | walk(2/2) | POST /api/publish{night2} -> 201 created;created_ok;"night 2 probe: same derived name_norm and venue but date 21 != 20 -> miss -> fresh node; exactly right for a residency";both nights created_ok with no dedup friction: the same submission explicitly lists two dates, so the adjacent-date signal is already explained as night 2 of the run;Both nights published as separate events (Fri 20 and Sat 21) - no duplicate warning, since the listing itself says it's a two-night run.;;;
